Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.36546848815112E-09,0.071847098180179,0.17671354653511,0,0,0,0.00754158871022579,1.0538394726484E-05,1.18723438765937E-15,1.91029909080426E-10,2.10717228133966E-05,4.56413849649916E-20,1.05361561707339E-05,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/base_link.STL,0.0274509803921569,0.564705882352941,0.949019607843137,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/base_link.STL,,three in one.IGS-1/opensource_arm埴遠.IGS-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
lowerplate,-6.325E-05,-0.0016205,4.1384E-05,0,0,0,0.010043,3.7878E-06,-6.8428E-09,1.8838E-10,7.279E-06,5.7536E-15,3.5512E-06,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/lowerplate.STL,0.027451,0.56471,0.94902,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/lowerplate.STL,,three in one.IGS-1/opensource_arm苤埴攫.IGS-1;three in one.IGS-1/opensource_arm4-21耜裔.IGS-1,,,lowerplate,fixed,0,-0.17671,0.071097,-1.5708,0,-1.5708,base_link,0,0,0,1000,1,-1,1,,,,,,,,0
lowerarm,-0.046034,-0.027152,-0.011608,0,0,0,0.035637,9.177E-06,-6.9602E-12,7.0849E-12,9.3199E-06,-1.4592E-08,8.0342E-06,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/lowerarm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/lowerarm.STL,,three in one.IGS-1/opensource_DUOPAN.IGS-2;three in one.IGS-1/opensource_arm酗U_綠.IGS-2;three in one.IGS-1/opensource_arm萵嗆攫_邧粣.IGS-2;three in one.IGS-1/opensource_armSG_SZ.IGS-2;three in one.IGS-1/opensource_armDG_SZ.IGS-2;three in one.IGS-1/opensource_armZK_SZ.IGS-2,,,lowerarm,fixed,0.0299,0.021603,-0.009624,-3.1416,0,1.5708,lowerplate,0,0,0,1000,1,-1,1,,,,,,,,0
middlearm,-0.0015237,0.05032,2.6803E-08,0,0,0,0.035637,8.0342E-06,1.4623E-08,3.8082E-11,6.5966E-06,6.9602E-12,1.19E-05,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/middlearm.STL,0.027451,0.56471,0.94902,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/middlearm.STL,,three in one.IGS-1/opensource_arm酗U_綠.IGS-3;three in one.IGS-1/opensource_DUOPAN.IGS-1;three in one.IGS-1/opensource_armSG_SZ.IGS-1;three in one.IGS-1/opensource_armZK_SZ.IGS-1;three in one.IGS-1/opensource_armDG_SZ.IGS-1;three in one.IGS-1/opensource_arm萵嗆攫_邧粣.IGS-1,,,middlearm,fixed,-0.093103,-0.0199,-0.010084,1.5708,-1.5708,0,lowerarm,0,0,0,1000,1,-1,1,,,,,,,,0
upperarm,0.01835,0.0088299,0.0086812,0,0,0,0.0061259,3.7347E-07,1.5118E-12,2.1352E-08,1.2224E-06,1.2137E-11,1.3972E-06,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/upperarm.STL,0.098039,0.098039,0.098039,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/upperarm.STL,,three in one.IGS-1/CHASSIS__UPPER82_23_1.IGS-3;three in one.IGS-1/opensource_arm翋嗆攫_邧粣.IGS-3;three in one.IGS-1/GEAR_BOX_LOWER_20_1.IGS-3;three in one.IGS-1/MID_PLANT-VTS02_21_1.IGS-3,,,upperarm,fixed,-0.014279,0.14725,-0.027762,0,-1.5708,0,middlearm,0,0,0,1000,1,-1,1,,,,,,,,0
upperplate,1.34596786160448E-06,-0.00977181136771738,-0.00556869558658946,0,0,0,0.00578116072485361,1.0253149496263E-06,1.21222116372839E-11,-2.13885627384944E-12,1.16631679611634E-06,-2.09355837611731E-08,3.50127501135318E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/upperplate.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/upperplate.STL,,three in one.IGS-1/假蚾蟀諉輸毀.IGS-2;three in one.IGS-1/假蚾蟀諉輸毀.IGS-1;three in one.IGS-1/opensource_arm翋嗆攫_邧粣.IGS-2;three in one.IGS-1/CHASSIS__UPPER82_23_1.IGS-2,,,upperplate,fixed,0.02552,-0.05642,0.018208,0,-1.5708,0,upperarm,0,0,0,1000,1,-1,1,,,,,,,,0
leftknuckle,0.0082064680470274,-0.00253725280321745,0.00402504557083538,0,0,0,0.00670041655237171,1.01063054718557E-06,7.48520662500276E-14,-5.4809212900946E-08,1.84459409868291E-06,-1.3580032700707E-13,8.44014518383453E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/leftknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/leftknuckle.STL,,three in one.IGS-1/牷裝2毀.IGS-1;three in one.IGS-1/翋儂殤毀.IGS-1,,,leftknuckle,fixed,-0.014,0.027,0.006,1.5708,0,0.59692,upperplate,0,0,0,1000,1,-1,1,,,,,,,,0
Lupperknuckle,0.0100055996920054,-0.00101037953654901,-0.0267439724484904,0,0,0,0.00495743586876842,7.50650007349076E-07,7.72724054204526E-14,3.87327124501305E-07,1.24899981646111E-06,-1.37389850517122E-13,5.05786200656045E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Lupperknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Lupperknuckle.STL,,three in one.IGS-1/牷裝2毀.IGS-1;three in one.IGS-1/蚰毀.IGS-1;three in one.IGS-1/蚰毀.IGS-2,,,Lupperknuckle,fixed,0,0,0,0,0,0,leftknuckle,0,0,0,1000,1,-1,1,,,,,,,,0
Linnerknuckle,0.0127712601373555,-0.00383999137319385,0.00362216916213334,0,0,0,0.00805105483619109,1.19600972246059E-06,-1.53703351994622E-15,-3.51769128639794E-07,2.38363098205039E-06,-2.43495426929749E-15,1.19969794551822E-06,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Linnerknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Linnerknuckle.STL,,three in one.IGS-1/苤蟀裝毀.IGS-2;three in one.IGS-1/苤蟀裝毀.IGS-3;three in one.IGS-1/蚰毀.IGS-1;three in one.IGS-1/蚰毀.IGS-2;three in one.IGS-1/翋儂殤毀.IGS-1,,,Linnerknuckle,fixed,0.018109,0,-0.025134,3.1416,-1.5708,0,Lupperknuckle,0,0,0,1000,1,-1,1,,,,,,,,0
rightknuckle,0.0068443672169512,0.00561697418738269,0.00411053222959029,0,0,0,0.00657066502204756,1.05803713755379E-06,-2.90983942710282E-14,-7.15546622094452E-08,1.83739003818354E-06,1.70607206970675E-14,7.89209379944049E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/rightknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/rightknuckle.STL,,three in one.IGS-1/牷裝1毀.IGS-1;three in one.IGS-1/翋儂殤毀.IGS-1,,,rightknuckle,fixed,0.014,0.027,0.009,-1.5708,0,2.4465,upperplate,0,0,0,1000,1,-1,1,,,,,,,,0
Rupperknuckle,0.0069438761124177,0.00107784632697661,0.0120349498817626,0,0,0,0.0048276843384443,8.85391300091852E-07,3.15496080486476E-15,-2.76583902968736E-07,1.24179575596174E-06,3.07106105515839E-14,3.63646359842089E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Rupperknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Rupperknuckle.STL,,three in one.IGS-1/蚰毀.IGS-3;three in one.IGS-1/蚰毀.IGS-4;three in one.IGS-1/牷裝1毀.IGS-1,,,Rupperknuckle,fixed,0.019064,0.003,-0.037807,0,-1.138,0,rightknuckle,0,0,0,1000,1,-1,1,,,,,,,,0
Rinnerknuckle,0.0216146591864465,0.00383999137319879,0.015810963781493,0,0,0,0.00805105483619114,1.46103335887307E-06,-1.06525994849753E-16,-1.96601463071915E-07,2.38363098204819E-06,-2.9095036513345E-15,9.34674309103552E-07,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Rinnerknuckle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://three in one 2.SLDASM/meshes/Rinnerknuckle.STL,,three in one.IGS-1/蚰毀.IGS-3;three in one.IGS-1/蚰毀.IGS-4;three in one.IGS-1/苤蟀裝毀.IGS-1;three in one.IGS-1/苤蟀裝毀.IGS-4;three in one.IGS-1/翋儂殤毀.IGS-1,,,Rinnerknuckle,fixed,0,0,0,0,0,0,Rupperknuckle,0,0,0,1000,1,-1,1,,,,,,,,0
